Service ID,Category ID,Type,Name (ES),Name (FR),Calculation Method,Recommendation
T-195,C-031,percentage_based,1% sobre el valor CIF que se ingresa en la zona única de la aduana,1% sur la valeur CAF entrant dans la zone unique des douanes,fixed_both,"Ajouter config: percentage_rate, base_field"
T-046,C-005,unit_based,Terreno edificado (por metro cuadrado),Terrain construit (par mètre carré),fixed_both,"Ajouter config: rate_per_unit, unit_measure"
T-047,C-005,unit_based,Terreno no edificado (por metro cuadrado),Terrain non construit (par mètre carré),fixed_both,"Ajouter config: rate_per_unit, unit_measure"
T-336,C-045,unit_based,"Autorización de construcción de cayucos con tronco abandonado en la playa, por metro de eslora","Autorisation de construction de pirogues avec bois abandonné sur la plage, par mètre de longueur",fixed_both,"Ajouter config: rate_per_unit, unit_measure"
T-337,C-045,unit_based,"Autorización de construcción de cayucos con tronco apeado, por metro de eslora","Autorisation de construction de pirogues avec bois coupé, par mètre de longueur",fixed_both,"Ajouter config: rate_per_unit, unit_measure"
T-007,C-001,truly_zero,Expedición Salvoconducto,Délivrance de laissez-passer,fixed_both,Marquer comme gratuit (is_free=true)
T-012,C-001,truly_zero,Adquisición impreso de pasaporte y su expedición,Acquisition du formulaire de passeport et sa délivrance,fixed_both,Marquer comme gratuit (is_free=true)
T-021,C-002,truly_zero,Los helicópteros,Les hélicoptères,fixed_both,Marquer comme gratuit (is_free=true)
T-029,C-004,truly_zero,RUBO,RUBRIQUE,fixed_both,Marquer comme gratuit (is_free=true)
T-040,C-004,truly_zero,Inscripción registral de contratos de locación de aeronaves inicial y sus renovaciones,Inscription registrale des contrats de location d'aéronefs initial et ses renouvellements,fixed_both,Marquer comme gratuit (is_free=true)
T-041,C-004,truly_zero,"Inscripción registral de hipotecas, prendas u otro acto jurídico que recaiga sobre la propiedad de las aeronaves o componentes de las mismas","Inscription registrale des hypothèques, gages ou autres actes juridiques portant sur la propriété des aéronefs ou de leurs composants",fixed_both,Marquer comme gratuit (is_free=true)
T-053,C-008,truly_zero,Zona de acceso a la Terminal (menos de 10 minutos),Zone d'accès au Terminal (moins de 10 minutes),fixed_both,Marquer comme gratuit (is_free=true)
T-057,C-009,truly_zero,Aeronaves del Estado (siempre que no realicen vuelos comerciales),Aéronefs de l'État (ne réalisant pas de vols commerciaux),fixed_both,Marquer comme gratuit (is_free=true)
T-058,C-009,truly_zero,Aeronaves del Gobierno (siempre que no realicen vuelos comerciales),Aéronefs du Gouvernement (ne réalisant pas de vols commerciaux),fixed_both,Marquer comme gratuit (is_free=true)
T-059,C-009,truly_zero,Aeronaves de los servicios oficiales de la República (siempre que no realicen vuelos comerciales),Aéronefs des services officiels de la République (ne réalisant pas de vols commerciaux),fixed_both,Marquer comme gratuit (is_free=true)
T-060,C-009,truly_zero,Todas las aeronaves militares y gubernamentales de los países amigos (en servicio no aerocomercial),Tous les aéronefs militaires et gouvernementaux des pays amis (en service non aérocommercial),fixed_both,Marquer comme gratuit (is_free=true)
T-066,C-010,truly_zero,AUTORIZACIONES DE EXPLOTACIÓN,AUTORISATIONS D'EXPLOITATION,fixed_both,Marquer comme gratuit (is_free=true)
T-067,C-010,truly_zero,RUBO,RUBRIQUE,fixed_both,Marquer comme gratuit (is_free=true)
T-094,C-010,truly_zero,Certificado de un proveedor de servicios de navegación aérea,Certificat d'un prestataire de services de navigation aérienne,fixed_both,Marquer comme gratuit (is_free=true)
T-095,C-010,truly_zero,Certificado de un proveedor de servicios de navegación aérea,Certificat d'un prestataire de services de navigation aérienne,fixed_both,Marquer comme gratuit (is_free=true)
T-096,C-010,truly_zero,RUBRO AERODROMOS,RUBRIQUE AÉRODROMES,fixed_both,Marquer comme gratuit (is_free=true)
T-098,C-010,truly_zero,Autorización/Homologación,Autorisation/Homologation,fixed_both,Marquer comme gratuit (is_free=true)
T-100,C-010,truly_zero,"5,7 T menor que AR 10T","5,7 T inférieure à AR 10T",fixed_both,Marquer comme gratuit (is_free=true)
T-101,C-010,truly_zero,10 T menor que AR 30T,10 T inférieure à AR 30T,fixed_both,Marquer comme gratuit (is_free=true)
T-102,C-010,truly_zero,30 T menor que AR 50 T,30 T inférieure à AR 50 T,fixed_both,Marquer comme gratuit (is_free=true)
T-103,C-010,truly_zero,50 T menor que AR 100 T,50 T inférieure à AR 100 T,fixed_both,Marquer comme gratuit (is_free=true)
T-104,C-010,truly_zero,100 T menor que AR 200 T,100 T inférieure à AR 200 T,fixed_both,Marquer comme gratuit (is_free=true)
T-105,C-010,truly_zero,AR mayor que 200 T,AR supérieure à 200 T,fixed_both,Marquer comme gratuit (is_free=true)
T-122,C-014,truly_zero,"Baja intensidad por movimiento (Mongomeyen, Corisco y Annobón)","Basse intensité par mouvement (Mongomeyen, Corisco et Annobón)",fixed_both,Marquer comme gratuit (is_free=true)
T-124,C-014,truly_zero,"Alta intensidad por movimiento (en los aeropuertos de Mongomeyen, Corisco y Annobón)","Haute intensité par mouvement (dans les aéroports de Mongomeyen, Corisco et Annobón)",fixed_both,Marquer comme gratuit (is_free=true)
T-125,C-015,truly_zero,,,fixed_both,Marquer comme gratuit (is_free=true)
T-144,C-019,truly_zero,De la 3ª a la 5ª hora,De la 3ème à la 5ème heure,fixed_both,Marquer comme gratuit (is_free=true)
T-145,C-019,truly_zero,A partir de la 5ª,À partir de la 5ème,fixed_both,Marquer comme gratuit (is_free=true)
T-148,C-019,truly_zero,De la 3ª a la 5ª hora,De la 3ème à la 5ème heure,fixed_both,Marquer comme gratuit (is_free=true)
T-149,C-019,truly_zero,A partir de la 5ª,À partir de la 5ème,fixed_both,Marquer comme gratuit (is_free=true)
T-187,C-029,truly_zero,Exportación madera rollizo,Exportation de bois rond,fixed_both,Marquer comme gratuit (is_free=true)
T-188,C-029,truly_zero,Exportación madera aserrada,Exportation de bois scié,fixed_both,Marquer comme gratuit (is_free=true)
T-197,C-031,truly_zero,Autorización de importación de mercancía,Autorisation d'importation de marchandises,fixed_both,Marquer comme gratuit (is_free=true)
T-198,C-031,truly_zero,Facturas visadas en las sedes diplomáticas,Factures visées dans les missions diplomatiques,fixed_both,Marquer comme gratuit (is_free=true)
T-199,C-031,truly_zero,Facturas no visadas en las sedes diplomáticas OK,Factures non visées dans les missions diplomatiques OK,fixed_both,Marquer comme gratuit (is_free=true)
T-200,C-031,truly_zero,Facturas no visadas en las sedes diplomáticas NOK,Factures non visées dans les missions diplomatiques NOK,fixed_both,Marquer comme gratuit (is_free=true)
T-289,C-039,truly_zero,Por cada premio,Par prix,fixed_both,Marquer comme gratuit (is_free=true)
T-293,C-039,truly_zero,Autorizaciones para visita turística nativos. Por persona y para 7 días,Autorisations pour visite touristique locaux. Par personne et pour 7 jours,fixed_both,Marquer comme gratuit (is_free=true)
T-358,C-047,truly_zero,Matricula Enseñanza Primaria,Inscription à l'enseignement primaire,fixed_both,Marquer comme gratuit (is_free=true)
T-488,C-074,truly_zero,Compra productos 1ª,Achat produits 1ère catégorie,fixed_both,Marquer comme gratuit (is_free=true)
T-489,C-074,truly_zero,Compra productos2ª,Achat produits 2ème catégorie,fixed_both,Marquer comme gratuit (is_free=true)
T-490,C-074,truly_zero,Compra productos 3ª,Achat produits 3ème catégorie,fixed_both,Marquer comme gratuit (is_free=true)
T-491,C-074,truly_zero,Abacería,Épicerie,fixed_both,Marquer comme gratuit (is_free=true)
T-515,C-078,truly_zero,Regalía sobre el volumen de explotación industrial de canteras por m3,Redevance sur le volume d'exploitation industrielle de carrières par m3,fixed_both,Marquer comme gratuit (is_free=true)
T-517,C-078,truly_zero,Canon de arrendamiento de superficie/ exploración,Redevance de location de surface/exploration,fixed_both,Marquer comme gratuit (is_free=true)
T-518,C-078,truly_zero,Producción,Production,fixed_both,Marquer comme gratuit (is_free=true)
T-523,C-079,truly_zero,Plataforma o /barco de perforación de (1 - 3 meses),Plateforme ou navire de forage de (1 - 3 mois),fixed_both,Marquer comme gratuit (is_free=true)
T-524,C-079,truly_zero,Permiso de investigación en general,Permis de recherche général,fixed_both,Marquer comme gratuit (is_free=true)
T-525,C-079,truly_zero,Bono a la firma del contrato minero,Prime à la signature du contrat minier,fixed_both,Marquer comme gratuit (is_free=true)
T-526,C-079,truly_zero,Bono de declaración,Prime de déclaration,fixed_both,Marquer comme gratuit (is_free=true)
T-527,C-079,truly_zero,Canon de arrendamiento contractual de superficie,Redevance contractuelle de location de surface,fixed_both,Marquer comme gratuit (is_free=true)
T-528,C-079,truly_zero,Durante al periodo de explotación USD/Ha,Pendant la période d'exploitation USD/Ha,fixed_both,Marquer comme gratuit (is_free=true)
T-610,C-090,truly_zero,Denuncia,Plainte,fixed_both,Marquer comme gratuit (is_free=true)
T-616,C-091,truly_zero,Exportación y reexportación por aparato equipo de sistema,Exportation et réexportation par appareil système,fixed_both,Marquer comme gratuit (is_free=true)
T-909,C-101,truly_zero,Camiones de 10 a 14 Vehículos muy pesados (Camiones cargados),Camions de 10 à 14 Véhicules très lourds (Camions chargés),fixed_both,Marquer comme gratuit (is_free=true)
