id,sector_id,ministry_id,service_type,code,display_order,is_active,created_at,updated_at
C-001,S-001,,administrative,C-001,1,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-002,S-002,,administrative,C-002,2,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-003,S-002,,administrative,C-003,3,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-004,S-002,,administrative,C-004,4,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-005,S-002,,administrative,C-005,5,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-006,S-002,,administrative,C-006,6,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-007,S-002,,administrative,C-007,7,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-008,S-002,,administrative,C-008,8,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-009,S-002,,administrative,C-009,9,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-010,S-002,,administrative,C-010,10,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-011,S-002,,administrative,C-011,11,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-012,S-002,,administrative,C-012,12,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-013,S-002,,administrative,C-013,13,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-014,S-002,,administrative,C-014,14,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-015,S-002,,administrative,C-015,15,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-016,S-002,,administrative,C-016,16,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-017,S-002,,administrative,C-017,17,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-018,S-002,,administrative,C-018,18,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-019,S-002,,administrative,C-019,19,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-020,S-002,,administrative,C-020,20,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-021,S-002,,administrative,C-021,21,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-022,S-002,,administrative,C-022,22,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-023,S-002,,administrative,C-023,23,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-024,S-002,,administrative,C-024,24,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-025,S-002,,administrative,C-025,25,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-026,S-002,,administrative,C-026,26,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-027,S-003,,administrative,C-027,27,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-028,S-003,,administrative,C-028,28,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-029,S-003,,administrative,C-029,29,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-030,S-003,,administrative,C-030,30,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-031,S-003,,administrative,C-031,31,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-032,S-003,,administrative,C-032,32,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-039,S-005,,administrative,C-039,33,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-044,S-007,,administrative,C-044,34,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-045,S-007,,administrative,C-045,35,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-046,S-007,,administrative,C-046,36,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-048,S-008,,administrative,C-048,37,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-049,S-008,,administrative,C-049,38,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-050,S-008,,administrative,C-050,39,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-051,S-008,,administrative,C-051,40,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-052,S-008,,administrative,C-052,41,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-053,S-008,,administrative,C-053,42,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-054,S-008,,administrative,C-054,43,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-057,S-009,,administrative,C-057,44,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-059,S-010,,administrative,C-059,45,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-060,S-010,,administrative,C-060,46,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-061,S-010,,administrative,C-061,47,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-062,S-011,,administrative,C-062,48,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-063,S-011,,administrative,C-063,49,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-064,S-011,,administrative,C-064,50,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-065,S-011,,administrative,C-065,51,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-066,S-011,,administrative,C-066,52,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-067,S-011,,administrative,C-067,53,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-068,S-011,,administrative,C-068,54,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-069,S-011,,administrative,C-069,55,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-070,S-012,,administrative,C-070,56,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-071,S-012,,administrative,C-071,57,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-072,S-012,,administrative,C-072,58,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-073,S-012,,administrative,C-073,59,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-074,S-012,,administrative,C-074,60,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-075,S-012,,administrative,C-075,61,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-076,S-013,,administrative,C-076,62,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-077,S-013,,administrative,C-077,63,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-078,S-013,,administrative,C-078,64,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-079,S-013,,administrative,C-079,65,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-080,S-014,,administrative,C-080,66,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-081,S-015,,administrative,C-081,67,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-082,S-015,,administrative,C-082,68,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-083,S-015,,administrative,C-083,69,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-084,S-015,,administrative,C-084,70,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-085,S-015,,administrative,C-085,71,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-086,S-015,,administrative,C-086,72,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-087,S-016,,administrative,C-087,73,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-088,S-016,,administrative,C-088,74,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-089,S-016,,administrative,C-089,75,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-090,S-016,,administrative,C-090,76,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-091,S-017,,administrative,C-091,77,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-092,S-017,,administrative,C-092,78,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-093,S-017,,administrative,C-093,79,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-101,S-018,,administrative,C-101,80,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-102,S-018,,administrative,C-102,81,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-103,S-018,,administrative,C-103,82,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-104,S-018,,administrative,C-104,83,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-105,S-018,,administrative,C-105,84,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
C-047,S-007,,administrative,C-047,85,true,2025-09-29T08:13:06.261514Z,2025-09-29T08:13:06.261514Z
C-058,S-010,,administrative,C-058,86,true,2025-09-29T08:13:06.261514Z,2025-09-29T08:13:06.261514Z
